DATE,T10Y2Y
8/1/15,1.46952381
9/1/15,1.45952381
10/1/15,1.425238095
11/1/15,1.378421053
12/1/15,1.26
1/1/16,1.185789474
2/1/16,1.046
3/1/16,1.014090909
4/1/16,1.037142857
5/1/16,0.99
6/1/16,0.912727273
7/1/16,0.8315
8/1/16,0.819130435
9/1/16,0.85952381
10/1/16,0.9215
11/1/16,1.1625
12/1/16,1.295238095
1/1/17,1.226
2/1/17,1.217894737
3/1/17,1.168695652
4/1/17,1.056315789
5/1/17,1.001818182
6/1/17,0.844545455
7/1/17,0.9455
8/1/17,0.873913043
9/1/17,0.8175
10/1/17,0.81047619
11/1/17,0.656666667
12/1/17,0.5585
1/1/18,0.551904762
2/1/18,0.683684211
3/1/18,0.566666667
4/1/18,0.484761905
5/1/18,0.465909091
6/1/18,0.379047619
7/1/18,0.282380952
8/1/18,0.253478261
9/1/18,0.236315789
10/1/18,0.291363636
11/1/18,0.258
12/1/18,0.156315789
1/1/19,0.17047619
2/1/19,0.172105263
3/1/19,0.161428571
4/1/19,0.187619048
5/1/19,0.188636364
6/1/19,0.26
7/1/19,0.224090909
8/1/19,0.055
9/1/19,0.0515
10/1/19,0.155454545
11/1/19,0.199473684
12/1/19,0.24952381
1/1/20,0.238571429
2/1/20,0.173157895
3/1/20,0.421818182
4/1/20,0.432857143
5/1/20,0.5035
6/1/20,0.543636364
7/1/20,0.475454545
8/1/20,0.51047619
9/1/20,0.544761905
10/1/20,0.637619048
